scale,renderFactor,count,mean,std
0.01,0.5,84005.0,66.70980381223814,41.5143534579738
0.01,0.75,84005.0,60.79216485189033,38.074024100459155
0.01,1.0,84005.0,62.8618392493966,39.14662982561322
0.01,1.5,84005.0,58.043120547778905,35.03105691523036
0.01,2.0,84005.0,56.26881203943665,30.60491459835256
0.01,3.0,84005.0,51.07995760933286,28.27963283727933
0.025,0.5,84005.0,58.664924979212735,33.95543369794776
0.025,0.75,84005.0,65.27113314806832,39.427860413637006
0.025,1.0,84005.0,56.079329449261465,34.519602823742645
0.025,1.5,84005.0,58.13457365498724,35.442501173583636
0.025,2.0,84005.0,53.76453662567985,32.66126378870135
0.025,3.0,84005.0,51.89865931249988,30.425466897960753
0.05,0.5,84005.0,71.91672885219599,44.40890382799278
0.05,0.75,84005.0,73.9937606121988,44.515643789210344
0.05,1.0,84005.0,58.176141212773004,36.0572071669523
0.05,1.5,84005.0,55.886015244904975,33.96401392830975
0.05,2.0,84005.0,54.47832493532455,32.30620491957081
0.05,3.0,84005.0,52.31551144278611,30.6843610898488
