GSM7990100_metastatic_lymph_node_S2.h5ad;2d-affine: (1.0,0.0,0.0,0.0,1.0,0.0)
GSM7990101_metastatic_lymph_node_S3.h5ad;2d-affine: (0.9394596982895393,-0.13264539748667445,1935.3069982029842,0.11220355066908592,0.9280182190417493,-485.8363976986957)
GSM7990102_metastatic_lymph_node_S4.h5ad;2d-affine: (0.9857569482314003,-0.135881183427142,158.15273426049225,0.12131256065509541,1.0037252399074055,-2268.926439944499)
GSM7990103_metastatic_lymph_node_S5.h5ad;2d-affine: (0.28166718220486453,0.9521015308579125,-778.8037946962786,-0.9948945352370983,0.2539012067691516,9191.54777757559)
GSM7990104_metastatic_lymph_node_S6.h5ad;2d-affine: (0.06357937830494137,1.0408048196386945,550.1598404343458,-0.9630291270506804,0.09762781157102123,13883.183324853198)
GSM7990105_metastatic_lymph_node_S7.h5ad;2d-affine: (-0.6203884788625246,-0.7293340365693529,16931.4371604014,-0.7657644757279923,0.5561876377895494,7101.980638150979)
GSM7990106_metastatic_lymph_node_S9.h5ad;2d-affine: (-0.479496895378516,-0.8662036620084268,16807.93597110582,-0.803852415598609,0.5228310455168727,7164.528801922106)
GSM7990107_metastatic_lymph_node_S11.h5ad;2d-affine: (-0.3684973788680954,-0.9024864943451932,16085.36940112981,-0.9374438635134502,0.3495903421216925,10360.704743940283)
GSM7990108_metastatic_lymph_node_S17.h5ad;2d-affine: (-0.329799796105236,-0.9272074758622559,15909.968450266559,-0.8683935650657358,0.3578990959331858,8950.676318132895)
GSM7990109_metastatic_lymph_node_S18.h5ad;2d-affine: (-0.13392236722165843,-0.9948644992673498,15250.312455326786,-0.9620313114851535,0.10793174409067897,11894.861842466327)
GSM7990110_metastatic_lymph_node_S19.h5ad;2d-affine: (-0.44549643361964075,-0.947482552535176,16647.303269924592,-0.9343586244248255,0.4407424376547684,8744.254277950145)
GSM7990111_metastatic_lymph_node_S23.h5ad;2d-affine: (-0.18056721708419685,-0.9259102536276387,15878.505582832804,-0.9385751802823374,0.18889013658392417,11081.839574245008)
GSM7990112_metastatic_lymph_node_S24.h5ad;2d-affine: (-0.3030242016356145,-0.953946132213944,16192.197225379752,-0.9189456395619592,0.2586914665064492,10117.90297194116)
GSM7990113_metastatic_lymph_node_S25.h5ad;2d-affine: (-0.22305668479450022,-0.9255084379885604,15610.988412453746,-0.9933608733150087,0.21837554593745395,10169.643896991473)
GSM7990114_metastatic_lymph_node_S26.h5ad;2d-affine: (-0.556221523032935,-0.7573946168940393,17536.455602364997,-0.7881059236413313,0.5404216007870182,7421.580903390084)
GSM7990115_metastatic_lymph_node_S28.h5ad;2d-affine: (-0.43985183956057067,-0.9612040598510962,17483.89262820423,-0.9195559945646696,0.46565192892029994,10183.274459908647)
GSM7990116_metastatic_lymph_node_S33.h5ad;2d-affine: (-0.4562254667925965,-0.8411686802372067,16000.075701525482,-0.8678765589067555,0.4455546568232589,8190.108258463195)
GSM7990117_metastatic_lymph_node_S34.h5ad;2d-affine: (-0.39503913429084775,-0.8972213839855327,17040.421403912154,-0.9253699456786655,0.4373653894184927,9970.772516444733)
GSM7990118_metastatic_lymph_node_S36.h5ad;2d-affine: (-0.5076618396317654,-0.8975537398276809,17806.982317443046,-0.8094979417090347,0.5506907148034792,7073.896262608201)
